Club Name,Date Of Birth,Kickoff Time,League Name,Nationality,Player Name,Position,Position Index,Season,Was Home,Year,Age,Assists,Bonus,Bps,Clean Sheets,Creativity,Element,F1,Fixture,Goals Conceded,Goals Scored,GW,Ict Index,Influence,Minutes,Opponent Team,Own Goals,Penalties Missed,Penalties Saved,Red Cards,Round,Saves,Selected,Team A Score,Team H Score,Threat,Total Points,Transfers Balance,Transfers In,Transfers Out,Value,Yellow Cards
Arsenal FC,9/20/1995,7/26/2020 3:00:00 PM,Premier League,England,Rob Holding,Centre-Back,2,2019/2020,True,2019,23,0,0,10,0,0.3,10,18005,371,2,0,47,3.4,20.2,90,18,0,0,0,0,47,0,19087,2,3,13,0,2872,3632,760,44,1
Norwich City,9/16/1993,9/14/2019 4:30:00 PM,Premier League,England,Sam Byram,Right-Back,2,2019/2020,True,2019,25,0,0,11,0,1,454,2064,46,2,0,5,5.7,37.8,90,11,0,0,0,0,5,0,8378,2,3,18,0,-396,385,781,44,1
Manchester City,5/27/1994,8/31/2019 2:00:00 PM,Premier League,France,Aymeric Laporte,Centre-Back,2,2019/2020,True,2019,25,0,0,0,0,0.5,202,1311,37,0,0,4,0.3,2.4,36,4,0,0,0,0,4,0,546531,0,4,0,0,-13274,37221,50495,65,1
Brighton & Hove Albion,8/30/1996,12/21/2019 3:00:00 PM,Premier League,Mali,Yves Bissouma,Central Midfield,3,2019/2020,True,2019,22,0,0,1,0,6.8,53,7526,173,0,0,18,2.5,4.4,34,15,0,0,0,0,18,0,998,1,0,14,0,6,51,45,50,1
Norwich City,2/27/1998,7/4/2020 11:30:00 AM,Premier League,England,Todd Cantwell,Left Midfield,3,2019/2020,True,2019,21,0,0,-2,0,3.3,287,15398,327,0,0,42,0.6,0,23,4,0,0,0,0,42,0,1309246,1,0,6,0,-47631,31393,79024,46,1
Chelsea FC,5/6/1994,12/14/2019 3:00:00 PM,Premier League,Croatia,Mateo Kovacic,Central Midfield,3,2019/2020,True,2019,25,0,0,4,0,5.8,432,7414,163,1,0,17,1.8,5.4,25,3,0,0,0,0,17,0,92239,1,0,7,0,16749,20092,3343,53,1
Crystal Palace,11/12/1990,6/29/2020 7:00:00 PM,Premier League,Ireland,James McCarthy,Central Midfield,3,2019/2020,True,2019,28,0,0,-1,0,3.1,157,14616,315,1,0,41,0.4,1.2,45,5,0,0,0,0,41,0,63437,1,0,0,0,565,2656,2091,43,1
Sheffield United,4/12/1991,7/20/2020 5:00:00 PM,Premier League,Northern Ireland,Oliver Norwood,Central Midfield,3,2019/2020,True,2019,28,0,0,7,0,1.4,302,17426,367,1,0,46,0.5,3.6,68,8,0,0,0,0,46,0,52101,1,0,0,1,491,2605,2114,47,1
Sheffield United,8/24/1991,1/21/2020 7:30:00 PM,Premier League,Scotland,John Fleck,Central Midfield,3,2019/2020,True,2019,27,0,0,3,0,6,301,10554,236,1,0,24,1.3,6.6,90,11,0,0,0,0,24,0,325105,1,0,0,1,85871,100362,14491,50,1
Sheffield United,4/12/1991,1/21/2020 7:30:00 PM,Premier League,Northern Ireland,Oliver Norwood,Central Midfield,3,2019/2020,True,2019,28,0,0,8,0,5.5,302,10690,236,1,0,24,1.4,8.6,90,11,0,0,0,0,24,0,23794,1,0,0,1,-602,1118,1720,49,1
Sheffield United,8/24/1991,9/14/2019 2:00:00 PM,Premier League,Scotland,John Fleck,Central Midfield,3,2019/2020,True,2019,27,0,0,13,0,39.2,301,1904,47,1,0,5,11.6,14.2,90,16,0,0,0,0,5,0,5094,1,0,63,1,-1013,20,1033,49,1
Tottenham Hotspur,2/2/1996,8/25/2019 3:30:00 PM,Premier League,England,Harry Winks,Defensive Midfield,3,2019/2020,True,2019,23,0,0,12,0,24.5,347,1001,28,1,0,3,5.4,27.8,90,13,0,0,0,0,3,0,23567,1,0,2,1,-1652,1360,3012,55,1
Crystal Palace,4/7/1991,2/1/2020 3:00:00 PM,Premier League,Serbia,Luka Milivojevic,Defensive Midfield,3,2019/2020,True,2019,28,0,0,9,0,27.3,134,11120,243,1,0,25,3.9,10.8,90,15,0,0,0,0,25,0,143435,1,0,1,1,-599,1100,1699,67,1
Norwich City,5/23/1989,11/8/2019 8:00:00 PM,Premier League,Bosnia-Herzegovina,Mario Vrancic,Central Midfield,3,2019/2020,True,2019,30,0,0,3,0,11.8,282,5062,117,0,0,12,2.3,3.2,9,18,0,0,0,0,12,0,4520,2,0,8,0,70,154,84,62,1
Brighton & Hove Albion,6/12/1989,11/23/2019 3:00:00 PM,Premier League,England,Dale Stephens,Central Midfield,3,2019/2020,True,2019,30,0,0,8,0,4.1,57,5325,124,1,0,13,0.9,5,76,9,0,0,0,0,13,0,182546,2,0,0,1,-5708,3526,9234,45,1
AFC Bournemouth,2/3/1997,7/19/2020 1:00:00 PM,Premier League,England,Lewis Cook,Central Midfield,3,2019/2020,True,2019,22,0,0,-2,0,1.3,79,17336,362,1,0,46,0.2,0.8,21,16,0,0,0,0,46,0,3474,2,0,0,0,26,97,71,50,1
AFC Bournemouth,6/11/1996,7/19/2020 1:00:00 PM,Premier League,Denmark,Philip Billing,Central Midfield,3,2019/2020,True,2019,23,0,0,6,0,25.2,476,17446,362,1,0,46,5,20.4,86,16,0,0,0,0,46,0,12060,2,0,4,1,105,227,122,49,1
Everton FC,11/8/1989,11/23/2019 3:00:00 PM,Premier League,France,Morgan Schneiderlin,Defensive Midfield,3,2019/2020,True,2019,29,0,0,2,0,4.9,158,5546,126,1,0,13,3.6,10.6,55,14,0,0,0,0,13,0,58370,2,0,20,0,1230,3700,2470,44,1
Tottenham Hotspur,8/16/1989,12/22/2019 4:30:00 PM,Premier League,France,Moussa Sissoko,Central Midfield,3,2019/2020,True,2019,29,0,0,10,0,13.8,349,7753,178,2,0,18,2.6,10.6,90,6,0,0,0,0,18,0,161480,2,0,2,1,6967,14174,7207,49,1
AFC Bournemouth,2/3/1997,6/20/2020 6:45:00 PM,Premier League,England,Lewis Cook,Central Midfield,3,2019/2020,True,2019,22,0,0,15,0,19.3,79,13618,292,2,0,39,4.1,16.4,90,7,0,0,0,0,39,0,3360,2,0,5,1,238,544,306,50,1
West Ham United,5/8/1987,1/29/2020 7:45:00 PM,Premier League,England,Mark Noble,Central Midfield,3,2019/2020,True,2019,32,0,0,9,0,2.2,396,10629,180,2,0,24,0.7,4,90,10,0,0,0,0,24,0,182393,2,0,1,1,77604,84695,7091,50,1
Chelsea FC,3/29/1991,12/26/2019 3:00:00 PM,Premier League,France,N'Golo Kanté,Central Midfield,3,2019/2020,True,2019,28,0,0,13,0,23.1,119,8093,183,2,0,19,4.8,18.4,90,16,0,0,0,0,19,0,345622,2,0,6,1,3031,12637,9606,50,1
Manchester City,10/24/1990,10/6/2019 1:00:00 PM,Premier League,Germany,Ilkay Gündogan,Central Midfield,3,2019/2020,True,2019,28,0,0,14,0,41.2,222,3172,75,2,0,8,5.4,10,90,20,0,0,0,0,8,0,98017,2,0,3,1,-1580,4532,6112,52,1
Crystal Palace,4/7/1991,10/19/2019 4:30:00 PM,Premier League,Serbia,Luka Milivojevic,Defensive Midfield,3,2019/2020,True,2019,28,0,0,4,0,1.6,134,3710,84,2,0,9,1.3,3,75,11,0,0,0,0,9,0,184945,2,0,8,1,-5721,1989,7710,67,1
Crystal Palace,4/7/1991,7/16/2020 7:15:00 PM,Premier League,Serbia,Luka Milivojevic,Defensive Midfield,3,2019/2020,True,2019,28,0,0,11,0,2.8,134,16810,354,2,0,45,3,20,90,12,0,0,0,0,45,0,143747,2,0,7,1,-1024,290,1314,67,1
Crystal Palace,12/23/1992,11/3/2019 2:00:00 PM,Premier League,Ghana,Jeffrey Schlupp,Left Midfield,3,2019/2020,True,2019,26,0,0,2,0,22.9,137,4543,105,2,0,11,5.5,14.8,90,9,0,0,0,0,11,0,8385,2,0,17,1,-584,206,790,55,1
Aston Villa,1/19/1994,7/9/2020 7:15:00 PM,Premier League,Zimbabwe,Marvelous Nakamba,Defensive Midfield,3,2019/2020,True,2019,25,0,0,-1,0,0.7,491,15772,332,0,0,43,0.1,0.4,31,12,0,0,0,0,43,0,46558,3,0,0,0,-484,141,625,44,1
Watford FC,4/17/1995,7/21/2020 5:00:00 PM,Premier League,England,Will Hughes,Central Midfield,3,2019/2020,True,2019,24,0,0,2,0,0.4,370,17548,369,4,0,46,1.9,14.4,90,11,0,0,0,0,46,0,20918,4,0,4,1,-52,37,89,53,1
Brighton & Hove Albion,8/30/1996,7/11/2020 7:00:00 PM,Premier League,Mali,Yves Bissouma,Central Midfield,3,2019/2020,True,2019,22,0,0,8,0,1.9,53,16486,343,5,0,44,0.7,5.4,90,11,0,0,0,0,44,0,1910,5,0,0,1,50,117,67,50,1
Crystal Palace,11/12/1990,12/3/2019 7:30:00 PM,Premier League,Ireland,James McCarthy,Central Midfield,3,2019/2020,True,2019,28,0,0,0,0,0,157,6331,148,0,0,15,0,0.2,45,3,0,0,0,0,15,0,44079,0,1,0,0,-770,609,1379,44,1
AFC Bournemouth,2/3/1997,12/26/2019 3:00:00 PM,Premier League,England,Lewis Cook,Central Midfield,3,2019/2020,True,2019,22,0,0,8,0,3.4,79,8265,182,1,0,19,1.5,9.6,90,1,0,0,0,0,19,0,3002,1,1,2,1,-70,177,247,50,1
Crystal Palace,11/12/1990,1/11/2020 12:30:00 PM,Premier League,Ireland,James McCarthy,Central Midfield,3,2019/2020,True,2019,28,0,0,7,0,2.6,157,9628,214,1,0,22,2.7,22.2,90,1,0,0,0,0,22,0,40793,1,1,2,1,-1026,755,1781,44,1
Southampton FC,11/1/1994,12/28/2019 3:00:00 PM,Premier League,England,James Ward-Prowse,Central Midfield,3,2019/2020,True,2019,24,0,0,14,0,55.8,321,8483,198,1,0,20,9.5,24.4,90,7,0,0,0,0,20,0,166277,1,1,15,1,14914,24515,9601,59,1
Everton FC,6/30/1998,3/1/2020 2:00:00 PM,Premier League,England,Tom Davies,Central Midfield,3,2019/2020,True,2019,21,0,0,12,0,12.1,154,12633,274,1,0,28,4.6,15.4,90,12,0,0,0,0,28,0,10278,1,1,18,1,-176,78,254,53,1
Burnley FC,1/31/1992,3/7/2020 5:30:00 PM,Premier League,Ireland,Jeff Hendrick,Central Midfield,3,2019/2020,True,2019,27,0,0,3,0,12.2,100,13195,282,1,0,29,3.5,6.4,88,17,0,0,0,0,29,0,8716,1,1,16,1,-4,331,335,54,1
Crystal Palace,11/12/1990,7/26/2020 3:00:00 PM,Premier League,Ireland,James McCarthy,Central Midfield,3,2019/2020,True,2019,28,0,0,15,0,45,157,17794,374,1,0,47,6.8,23,90,17,0,0,0,0,47,0,71867,1,1,0,1,2745,5960,3215,42,1
Tottenham Hotspur,8/16/1989,10/19/2019 2:00:00 PM,Premier League,France,Moussa Sissoko,Central Midfield,3,2019/2020,True,2019,29,0,0,14,0,18,349,3760,89,1,0,9,2.7,7.8,90,18,0,0,0,0,9,0,137742,1,1,1,1,-9361,2258,11619,50,1
AFC Bournemouth,10/25/1994,12/26/2019 3:00:00 PM,Premier League,Colombia,Jefferson Lerma,Defensive Midfield,3,2019/2020,True,2019,24,0,0,11,0,22,82,8166,182,1,0,19,4.7,24,90,1,0,0,0,0,19,0,10815,1,1,1,1,-166,355,521,48,1
Norwich City,4/4/1986,1/1/2020 5:30:00 PM,Premier League,Norway,Alexander Tettey,Defensive Midfield,3,2019/2020,True,2019,33,0,0,14,0,3.1,289,9083,207,1,0,21,1.8,7.2,90,7,0,0,0,0,21,0,29193,1,1,8,1,2600,5758,3158,45,1
Arsenal FC,9/27/1992,1/18/2020 3:00:00 PM,Premier League,Switzerland,Granit Xhaka,Defensive Midfield,3,2019/2020,True,2019,26,0,0,12,0,7.5,18,9984,221,1,0,23,3,20,90,15,0,0,0,0,23,0,46222,1,1,2,1,1212,2061,849,51,1
Wolverhampton Wanderers,4/15/1995,12/1/2019 2:00:00 PM,Premier League,Belgium,Leander Dendoncker,Defensive Midfield,3,2019/2020,True,2019,24,0,0,8,0,0.9,420,5935,140,1,0,14,3.5,16.4,90,15,0,0,0,0,14,0,676697,1,1,18,1,-6209,25230,31439,44,1
Burnley FC,4/1/1990,3/7/2020 5:30:00 PM,Premier League,England,Ashley Westwood,Defensive Midfield,3,2019/2020,True,2019,29,0,0,15,0,30,101,13001,282,1,0,29,4.6,15.4,90,17,0,0,0,0,29,0,64737,1,1,1,1,-3494,6782,10276,54,1
Burnley FC,6/25/1989,3/7/2020 5:30:00 PM,Premier League,England,Jack Cork,Defensive Midfield,3,2019/2020,True,2019,30,0,0,14,0,1.5,102,13241,282,1,0,29,5.9,22.4,90,17,0,0,0,0,29,0,13084,1,1,35,1,302,659,357,49,1
Crystal Palace,12/21/1989,7/26/2020 3:00:00 PM,Premier League,Senegal,Cheikhou Kouyaté,Defensive Midfield,3,2019/2020,True,2019,29,0,0,9,0,0.3,139,17646,374,1,0,47,2.3,16.6,90,17,0,0,0,0,47,0,16526,1,1,6,1,-192,203,395,48,1
Manchester United,7/9/1985,9/30/2019 7:00:00 PM,Premier League,England,Ashley Young,Left Midfield,3,2019/2020,True,2019,33,0,0,11,0,39.3,224,2601,67,1,0,7,5.2,10.6,90,1,0,0,0,0,7,0,25757,1,1,2,1,-1781,906,2687,54,1
Burnley FC,12/19/1995,7/26/2020 3:00:00 PM,Premier League,England,Josh Brownhill,Central Midfield,3,2019/2020,True,2019,23,0,0,14,0,13.6,620,17839,372,2,0,47,2.5,9.8,90,4,0,0,0,0,47,0,1453,2,1,2,1,238,383,145,48,1
Sheffield United,2/18/1994,8/24/2019 2:00:00 PM,Premier League,England,John Lundstram,Central Midfield,3,2019/2020,True,2019,25,0,0,4,0,9.1,297,1051,27,2,0,3,3,3,90,9,0,0,0,0,3,0,1042906,2,1,18,0,453880,474635,20755,41,1
Chelsea FC,5/6/1994,9/22/2019 3:30:00 PM,Premier League,Croatia,Mateo Kovacic,Central Midfield,3,2019/2020,True,2019,25,0,0,10,0,4.3,432,2410,53,2,0,6,2,8,90,10,0,0,0,0,6,0,72713,2,1,8,1,-3336,3211,6547,55,1
AFC Bournemouth,6/11/1996,11/23/2019 3:00:00 PM,Premier League,Denmark,Philip Billing,Central Midfield,3,2019/2020,True,2019,23,0,0,1,0,1.3,476,5578,123,2,0,13,0.3,1.8,45,20,0,0,0,0,13,0,13022,2,1,0,0,119,1108,989,50,1
Arsenal FC,2/11/1996,12/29/2019 2:00:00 PM,Premier League,Uruguay,Lucas Torreira,Defensive Midfield,3,2019/2020,True,2019,23,0,0,9,0,3,19,8583,191,2,0,20,1.1,4.4,90,6,0,0,0,0,20,0,88229,2,1,4,1,791,2398,1607,47,1
Newcastle United,3/22/1995,12/28/2019 3:00:00 PM,Premier League,England,Isaac Hayden,Defensive Midfield,3,2019/2020,True,2019,24,0,0,9,0,13.9,271,8399,196,2,0,20,3.1,14.2,90,8,0,0,0,0,20,0,263880,2,1,3,1,-6006,1741,7747,44,1
West Ham United,1/14/1999,12/28/2019 5:30:00 PM,Premier League,England,Declan Rice,Defensive Midfield,3,2019/2020,True,2019,20,0,0,10,0,27.1,395,8828,200,2,0,20,6.3,16.4,90,9,0,0,0,0,20,0,100452,2,1,19,1,278,2281,2003,47,1
Wolverhampton Wanderers,4/15/1995,12/15/2019 2:00:00 PM,Premier League,Belgium,Leander Dendoncker,Defensive Midfield,3,2019/2020,True,2019,24,0,0,7,0,1.3,420,7161,170,2,0,17,1.8,13,90,17,0,0,0,0,17,0,724358,2,1,4,1,29263,50925,21662,44,1
Arsenal FC,8/29/1997,12/29/2019 2:00:00 PM,Premier League,England,Ainsley Maitland-Niles,Right Midfield,3,2019/2020,True,2019,21,0,0,12,0,1.3,4,8824,191,2,0,20,1.9,15.4,90,6,0,0,0,0,20,0,184198,2,1,2,0,-1384,1502,2886,46,1
Everton FC,11/8/1989,9/28/2019 4:30:00 PM,Premier League,France,Morgan Schneiderlin,Defensive Midfield,3,2019/2020,True,2019,29,0,0,7,0,2.8,158,2870,65,2,0,7,0.9,6,80,11,0,0,0,0,7,0,59788,3,1,0,1,-2606,1825,4431,45,1
Watford FC,1/1/1993,6/28/2020 3:30:00 PM,Premier League,France,Abdoulaye Doucouré,Central Midfield,3,2019/2020,True,2019,26,0,0,2,0,1.8,368,14395,319,3,0,41,1.4,0.4,90,16,0,0,0,0,41,0,163756,3,1,12,1,-5085,4628,9713,56,1
Newcastle United,2/27/1992,7/15/2020 5:00:00 PM,Premier League,England,Jonjo Shelvey,Central Midfield,3,2019/2020,True,2019,27,0,0,7,0,40,269,16754,358,3,0,45,8.8,15.6,90,17,0,0,0,0,45,0,77607,3,1,32,1,-662,4969,5631,49,1
AFC Bournemouth,10/25/1994,8/25/2019 1:00:00 PM,Premier League,Colombia,Jefferson Lerma,Defensive Midfield,3,2019/2020,True,2019,24,0,0,7,0,1.7,82,1041,22,3,0,3,0.9,7.2,90,11,0,0,0,0,3,0,13556,3,1,0,1,-1882,798,2680,50,1
Aston Villa,1/19/1994,12/8/2019 2:00:00 PM,Premier League,Zimbabwe,Marvelous Nakamba,Defensive Midfield,3,2019/2020,True,2019,25,0,0,-2,0,1.4,491,6810,151,3,0,16,0.2,0.4,58,9,0,0,0,0,16,0,79668,4,1,0,0,-3073,648,3721,44,1
Aston Villa,10/18/1994,12/8/2019 2:00:00 PM,Premier League,Scotland,John McGinn,Central Midfield,3,2019/2020,True,2019,24,0,0,10,0,21.5,31,6733,151,4,0,16,4.3,12,90,9,0,0,0,0,16,0,687714,4,1,9,1,-66863,6779,73642,58,1
Arsenal FC,9/5/2001,1/1/2020 8:00:00 PM,Premier League,England,Bukayo Saka,Left Midfield,3,2019/2020,True,2019,17,0,0,2,0,0.8,541,9258,201,0,0,21,2.4,6.6,21,12,0,0,0,0,21,0,43368,0,2,17,0,1628,5861,4233,45,1
Brighton & Hove Albion,9/15/1990,6/20/2020 2:00:00 PM,Premier League,Australia,Aaron Mooy,Central Midfield,3,2019/2020,True,2019,28,0,0,4,0,5,516,13272,293,0,0,39,3.1,7,45,1,0,0,0,0,39,0,38018,1,2,19,0,-10764,3284,14048,48,1
Manchester City,10/24/1990,11/23/2019 5:30:00 PM,Premier League,Germany,Ilkay Gündogan,Central Midfield,3,2019/2020,True,2019,28,0,0,1,0,10.3,222,5405,127,0,0,13,1.5,4.4,38,6,0,0,0,0,13,0,114971,1,2,0,0,1432,8872,7440,52,1
Watford FC,8/12/1989,7/7/2020 5:00:00 PM,Premier League,England,Tom Cleverley,Central Midfield,3,2019/2020,True,2019,29,0,0,-1,0,1.8,371,15927,339,0,0,43,2.4,4.8,31,14,0,0,0,0,43,0,7549,1,2,17,0,12,50,38,48,1
Liverpool FC,1/4/1986,10/27/2019 4:30:00 PM,Premier League,England,James Milner,Central Midfield,3,2019/2020,True,2019,33,0,0,2,0,0,200,4085,94,0,0,10,0.1,1,13,17,0,0,0,0,10,0,47537,1,2,0,0,-418,1838,2256,53,1
Tottenham Hotspur,4/9/1996,7/12/2020 3:30:00 PM,Premier League,Argentina,Giovani Lo Celso,Central Midfield,3,2019/2020,True,2019,23,0,0,9,0,12.9,523,16140,348,1,0,44,2,6.4,83,1,0,0,0,0,44,0,29937,1,2,1,1,-810,656,1466,73,1
Chelsea FC,5/6/1994,12/4/2019 7:30:00 PM,Premier League,Croatia,Mateo Kovacic,Central Midfield,3,2019/2020,True,2019,25,0,0,10,0,45.8,432,6427,147,1,0,15,7,22.6,90,2,0,0,0,0,15,0,73525,1,2,2,1,1202,3876,2674,53,1
Aston Villa,2/2/1991,10/19/2019 2:00:00 PM,Premier League,Ireland,Conor Hourihane,Central Midfield,3,2019/2020,True,2019,28,0,0,4,0,30.4,28,3530,81,1,0,9,7.9,13.8,62,4,0,0,0,0,9,0,9870,1,2,35,1,1644,2122,478,57,1
Tottenham Hotspur,8/16/1989,12/26/2019 12:30:00 PM,Premier League,France,Moussa Sissoko,Central Midfield,3,2019/2020,True,2019,29,0,0,10,0,25,349,8194,189,1,0,19,6.1,15.4,90,4,0,0,0,0,19,0,165237,1,2,21,1,2146,10014,7868,49,1
Watford FC,4/17/1995,7/11/2020 11:30:00 AM,Premier League,England,Will Hughes,Central Midfield,3,2019/2020,True,2019,24,0,0,14,0,40.3,370,16478,349,1,0,44,7.5,11.8,90,13,0,0,0,0,44,0,21069,1,2,23,1,-167,98,265,53,1
Watford FC,4/17/1995,7/7/2020 5:00:00 PM,Premier League,England,Will Hughes,Central Midfield,3,2019/2020,True,2019,24,0,0,5,0,30,370,15951,339,1,0,43,4.2,10.4,58,14,0,0,0,0,43,0,21254,1,2,2,0,243,380,137,53,1
Manchester City,10/24/1990,11/2/2019 3:00:00 PM,Premier League,Germany,Ilkay Gündogan,Central Midfield,3,2019/2020,True,2019,28,0,0,17,0,42.4,222,4508,107,1,0,11,11.8,16.2,90,16,0,0,0,0,11,0,111007,1,2,59,1,13460,17136,3676,52,1
Tottenham Hotspur,2/2/1996,7/12/2020 3:30:00 PM,Premier League,England,Harry Winks,Defensive Midfield,3,2019/2020,True,2019,23,0,0,8,0,2.5,347,16152,348,1,0,44,1.6,13,90,1,0,0,0,0,44,0,19361,1,2,0,1,1,201,200,52,1
Newcastle United,3/22/1995,11/9/2019 3:00:00 PM,Premier League,England,Isaac Hayden,Defensive Midfield,3,2019/2020,True,2019,24,0,0,9,0,13.3,271,4957,116,1,0,12,2.1,7.8,90,3,0,0,0,0,12,0,289714,1,2,0,1,7107,13182,6075,44,1
Tottenham Hotspur,2/2/1996,12/26/2019 12:30:00 PM,Premier League,England,Harry Winks,Defensive Midfield,3,2019/2020,True,2019,23,0,0,13,0,6.9,347,7927,189,1,0,19,1.8,11.2,67,4,0,0,0,0,19,0,19348,1,2,0,1,-229,193,422,52,1
Arsenal FC,2/11/1996,7/15/2020 7:15:00 PM,Premier League,Uruguay,Lucas Torreira,Defensive Midfield,3,2019/2020,True,2019,23,0,0,0,0,1.1,19,16806,351,1,0,45,0.5,4.2,56,10,0,0,0,0,45,0,79054,1,2,0,0,-297,75,372,47,1
Arsenal FC,9/27/1992,7/15/2020 7:15:00 PM,Premier League,Switzerland,Granit Xhaka,Defensive Midfield,3,2019/2020,True,2019,26,0,0,10,0,1.7,18,16674,351,1,0,45,3.7,34.8,90,10,0,0,0,0,45,0,56474,1,2,0,1,-356,1136,1492,51,1
Arsenal FC,2/11/1996,11/23/2019 3:00:00 PM,Premier League,Uruguay,Lucas Torreira,Defensive Midfield,3,2019/2020,True,2019,23,0,0,10,0,2.1,19,5497,121,2,0,13,1.5,8.4,82,16,0,0,0,0,13,0,90489,2,2,4,1,-502,3143,3645,48,1
Arsenal FC,9/27/1992,9/1/2019 3:30:00 PM,Premier League,Switzerland,Granit Xhaka,Defensive Midfield,3,2019/2020,True,2019,26,0,0,2,0,37.1,18,1419,31,2,0,4,5.7,10.6,90,17,0,0,0,0,4,0,59887,2,2,9,1,-5540,2289,7829,54,1
AFC Bournemouth,10/25/1994,9/28/2019 2:00:00 PM,Premier League,Colombia,Jefferson Lerma,Defensive Midfield,3,2019/2020,True,2019,24,0,0,17,0,12.2,82,2764,62,2,0,7,3,17.4,90,19,0,0,0,0,7,0,11389,2,2,0,1,-713,330,1043,49,1
Aston Villa,1/19/1994,2/16/2020 2:00:00 PM,Premier League,Zimbabwe,Marvelous Nakamba,Defensive Midfield,3,2019/2020,True,2019,25,0,0,7,0,10.5,491,11670,252,1,0,26,2.4,13.6,30,17,0,0,0,0,26,0,54250,3,2,0,0,-1073,272,1345,44,1
Tottenham Hotspur,4/9/1996,3/1/2020 2:00:00 PM,Premier League,Argentina,Giovani Lo Celso,Central Midfield,3,2019/2020,True,2019,23,0,0,10,0,30.2,523,12419,278,3,0,28,6.9,16.6,90,20,0,0,0,0,28,0,27575,3,2,22,1,788,1975,1187,73,1
Crystal Palace,4/7/1991,7/7/2020 5:00:00 PM,Premier League,Serbia,Luka Milivojevic,Defensive Midfield,3,2019/2020,True,2019,28,0,0,7,0,25.2,134,15752,335,3,0,43,3.3,5.6,88,6,0,0,0,0,43,0,145605,3,2,2,1,-787,822,1609,67,1
Tottenham Hotspur,2/2/1996,3/1/2020 2:00:00 PM,Premier League,England,Harry Winks,Defensive Midfield,3,2019/2020,True,2019,23,0,0,12,0,5.7,347,12438,278,3,0,28,4.2,10.2,90,20,0,0,0,0,28,0,19357,3,2,26,1,95,422,327,52,1
Burnley FC,1/31/1992,10/26/2019 4:30:00 PM,Premier League,Ireland,Jeff Hendrick,Central Midfield,3,2019/2020,True,2019,27,0,0,3,0,12.4,100,4098,93,4,0,10,1.9,2.2,83,6,0,0,0,0,10,0,9963,4,2,4,1,241,1058,817,54,1
Sheffield United,4/12/1991,7/2/2020 5:00:00 PM,Premier League,Northern Ireland,Oliver Norwood,Central Midfield,3,2019/2020,True,2019,28,0,0,13,0,1.6,302,14780,318,1,0,41,1.4,12.8,90,17,0,0,0,0,41,0,53567,1,3,0,1,-6010,752,6762,48,1
AFC Bournemouth,10/25/1994,1/21/2020 7:30:00 PM,Premier League,Colombia,Jefferson Lerma,Defensive Midfield,3,2019/2020,True,2019,24,0,0,5,0,2,82,10542,232,1,0,24,0.6,3,90,4,0,0,0,0,24,0,9670,1,3,1,1,-134,127,261,48,1
Leicester City,11/18/1989,8/31/2019 2:00:00 PM,Premier League,England,Marc Albrighton,Right Midfield,3,2019/2020,True,2019,29,0,0,4,0,25.3,174,1536,36,1,0,4,3.6,5.6,63,3,0,0,0,0,4,0,16619,1,3,5,1,-2363,575,2938,54,1
Brighton & Hove Albion,9/2/1991,10/26/2019 2:00:00 PM,Premier League,Netherlands,Davy Pröpper,Central Midfield,3,2019/2020,True,2019,27,0,0,12,0,16.9,54,4001,92,2,0,10,3.3,13.8,90,8,0,0,0,0,10,0,31700,2,3,2,1,-1068,236,1304,50,1
Brighton & Hove Albion,6/12/1989,10/26/2019 2:00:00 PM,Premier League,England,Dale Stephens,Central Midfield,3,2019/2020,True,2019,30,0,0,16,0,4.8,57,3982,92,2,0,10,2,15.4,90,8,0,0,0,0,10,0,197629,2,3,0,1,-2063,5088,7151,45,1
Everton FC,11/21/1989,9/1/2019 1:00:00 PM,Premier League,England,Fabian Delph,Central Midfield,3,2019/2020,True,2019,29,0,0,8,0,3.9,205,1402,35,2,0,4,2,16.4,90,20,0,0,0,0,4,0,15303,2,3,0,0,-1069,653,1722,54,1
Arsenal FC,9/27/1992,9/22/2019 3:30:00 PM,Premier League,Switzerland,Granit Xhaka,Defensive Midfield,3,2019/2020,True,2019,26,0,0,7,0,16.5,18,2280,51,2,0,6,2.8,7.2,71,2,0,0,0,0,6,0,57363,2,3,4,1,-593,2739,3332,53,1
West Ham United,1/14/1999,7/1/2020 7:15:00 PM,Premier League,England,Declan Rice,Defensive Midfield,3,2019/2020,True,2019,20,0,0,12,0,12.6,395,14524,320,2,0,41,2.9,16.8,90,6,0,0,0,0,41,0,108898,2,3,0,1,126,1936,1810,47,1
Arsenal FC,9/27/1992,7/26/2020 3:00:00 PM,Premier League,Switzerland,Granit Xhaka,Defensive Midfield,3,2019/2020,True,2019,26,0,0,12,0,2.6,18,17747,371,2,0,47,1.4,11.2,90,18,0,0,0,0,47,0,58719,2,3,0,1,457,2429,1972,51,1
AFC Bournemouth,2/1/1990,7/12/2020 6:00:00 PM,Premier League,England,Dan Gosling,Central Midfield,3,2019/2020,True,2019,29,0,0,0,0,0.8,81,16082,342,1,0,44,0.9,8,45,9,0,0,0,0,44,0,4238,1,4,0,0,-37,112,149,48,1
Manchester United,12/8/1996,12/26/2019 5:30:00 PM,Premier League,Scotland,Scott McTominay,Central Midfield,3,2019/2020,True,2019,22,0,0,4,0,22.3,248,8004,187,1,0,19,3.4,7.2,45,13,0,0,0,0,19,0,177237,1,4,4,0,-6849,6402,13251,51,1
